geneId	geneSymbol	DSI	DPI	PLI	protein_class_name	protein_class	NofDiseases	NofPmids
     2645	GCK	0.523	0.808	0.63464	Kinase	DTO_03300101	 210	  585
     2646	GCKR	0.604	0.615	8.5354e-19			 136	  240
     2647	BLOC1S1	1	0.038	0.070821	Transcription factor	DTO_05007542	   2	    2
     2648	KAT2A	0.61	0.731	0.57331			  66	   50
     2649	NR6A1	0.716	0.385	0.98169	Nuclear receptor	DTO_00102000	  19	   10
     2650	GCNT1	0.716	0.346	0.0033333			  27	   16
     2651	GCNT2	0.65	0.538	2.4065e-05			  44	   26
     2652	OPN1MW	0.572	0.769	0.037781	G-protein coupled receptor	DTO_02300001	 107	   83
     2653	GCSH	0.76	0.385	0.001602			  34	   15
     2656	GCY	0.631	0.615				  44	   55
     2657	GDF1	0.529	0.692	0.41237	Signaling	DTO_05007599	 136	   84
     2658	GDF2	0.529	0.731	0.0024656	Signaling	DTO_05007599	 152	   97
     2660	MSTN	0.528	0.731	0.5052	Signaling	DTO_05007599	 159	  201
     2661	GDF9	0.644	0.385	5.5222e-06	Signaling	DTO_05007599	  44	   49
     2662	GDF10	0.628	0.654	0.0053478	Signaling	DTO_05007599	  62	   35
     2664	GDI1	0.572	0.654	0.99471	Enzyme	DTO_05007624	 102	   22
     2665	GDI2	0.76	0.308	0.84933	Enzyme	DTO_05007624	  21	    9
     2667	GDI2P1	0.931	0.192				   3	    2
     2668	GDNF	0.434	0.885	0.2035	Signaling	DTO_05007599	 409	  489
     2669	GEM	0.467	0.769	1.179e-08			 251	  364
     2670	GFAP	0.421	0.885	1.4601e-06			 447	  914
     2671	GFER	0.56	0.846	0.00017308	Enzyme	DTO_05007624	 120	   88
     2672	GFI1	0.546	0.769	0.25492	Transcription factor	DTO_05007542	 132	   74
     2673	GFPT1	0.612	0.654	0.89953	Enzyme	DTO_05007624	 104	   41
     2674	GFRA1	0.619	0.615	0.1175			  73	   59
     2675	GFRA2	0.716	0.423	0.097532			  27	   16
     2676	GFRA3	0.736	0.346	0.027638			  23	   14
     2677	GGCX	0.678	0.538	2.0199e-14			  56	   43
     2678	GGT1	0.496	0.885	7.5307e-05	Enzyme	DTO_05007624	 209	  233
     2681	GGTA1P	0.89	0.192				   9	   19
     2683	B4GALT1	0.674	0.538	0.037435	Enzyme	DTO_05007624	  45	   26
     2686	GGT7	0.89	0.077	0.98393	Enzyme	DTO_05007624	   9	    5
     2687	GGT5	1	0.077	2.1567e-11	Enzyme	DTO_05007624	   9	    5
     2688	GH1	0.373	0.923	0.030057	Signaling	DTO_05007599	 686	 1618
     2689	GH2	0.769	0.5	0.024553	Signaling	DTO_05007599	  18	   18
     2690	GHR	0.49	0.846	8.4385e-05	Signaling	DTO_05007599	 247	  362
     2691	GHRH	0.503	0.769	0.14964	Signaling	DTO_05007599	 176	  182
     2692	GHRHR	0.568	0.692	1.0082e-07	G-protein coupled receptor	DTO_02300001	  90	  122
     2693	GHSR	0.528	0.769	0.0065825	G-protein coupled receptor	DTO_02300001	 171	  179
     2694	CBLIF	0.507	0.808	0.00024911			 185	  177
     2695	GIP	0.57	0.654	0.27108			 110	  243
     2696	GIPR	0.67	0.538	1.9703e-29	G-protein coupled receptor	DTO_02300001	  58	   72
     2697	GJA1	0.393	0.885	0.15523	Cell-cell junction	DTO_05007527	 662	  673
     2700	GJA3	0.647	0.346	0.0013126	Cell-cell junction	DTO_05007527	  40	   58
     2701	GJA4	0.663	0.5	0.055777	Cell-cell junction	DTO_05007527	  39	   41
     2702	GJA5	0.575	0.577	0.017871	Cell-cell junction	DTO_05007527	  97	   88
     2703	GJA8	0.587	0.577	0.002205	Cell-cell junction	DTO_05007527	  82	   94
     2705	GJB1	0.514	0.731	0.84627	Cell-cell junction	DTO_05007527	 224	  341
     2706	GJB2	0.441	0.846	6.562e-16	Cell-cell junction	DTO_05007527	 392	  841
     2707	GJB3	0.621	0.462	0.0021767	Cell-cell junction	DTO_05007527	  79	   80
     2709	GJB5	0.89	0.154	1.3704e-05	Cell-cell junction	DTO_05007527	   6	    2
     2710	GK	0.656	0.577	0.98937	Kinase	DTO_03300101	  55	   32
     2717	GLA	0.537	0.769	0.99675			 190	  614
     2719	GPC3	0.466	0.808	0.9982			 311	  339
     2720	GLB1	0.448	0.808	7.9215e-10	Enzyme	DTO_05007624	 385	  520
     2722	GLC1B	0.839	0.038				   5	    5
     2723	GLC1C	0.861	0.038				   4	    6
     2724	GLC1D	1	0.038				   1	    2
     2728	GLC3B	0.769	0.154				  11	    7
     2729	GCLC	0.509	0.885	0.42718	Enzyme	DTO_05007624	 198	  168
     2730	GCLM	0.588	0.846	0.99011	Enzyme	DTO_05007624	  78	   58
     2731	GLDC	0.628	0.577	6.5777e-28	Enzyme	DTO_05007624	  78	   84
     2733	GLE1	0.628	0.577	2.0536e-10	Transporter	DTO_05007405	  93	   17
     2734	GLG1	0.821	0.192	1			  11	    7
     2735	GLI1	0.431	0.846	7.6639e-14			 369	  666
     2736	GLI2	0.446	0.846	0.97303			 351	  276
     2737	GLI3	0.436	0.846	0.99999			 400	  190
     2739	GLO1	0.537	0.769	9.6718e-07			 137	  141
     2740	GLP1R	0.471	0.846	0.29347	G-protein coupled receptor	DTO_02300001	 288	  999
     2741	GLRA1	0.628	0.5	0.00015816	Ion channel	DTO_01300327	  75	   76
     2742	GLRA2	0.751	0.423	0.97334	Ion channel	DTO_01300327	  15	   11
     2743	GLRB	0.705	0.308	0.0014157	Ion channel	DTO_01300327	  39	   18
     2744	GLS	0.489	0.808	0.96154	Enzyme	DTO_05007624	 217	  256
     2745	GLRX	0.619	0.577	5.6744e-07			  65	   49
     2746	GLUD1	0.584	0.731	0.0070495	Enzyme	DTO_05007624	  86	   98
     2747	GLUD2	0.678	0.423	0.03152	Enzyme	DTO_05007624	  52	   18
     2752	GLUL	0.513	0.731	0.9957	Enzyme	DTO_05007624	 200	  235
     2760	GM2A	0.678	0.692	0.03103	Transporter	DTO_05007405	  66	   22
     2761	GM2AP1	0.931	0.154				   3	    3
     2762	GMDS	0.716	0.385	0.99132	Enzyme	DTO_05007624	  33	   20
     2764	GMFB	0.743	0.308	0.0053339	Enzyme modulator	DTO_05007584	  17	   11
     2765	GML	0.705	0.423	0.21757			  32	   45
     2766	GMPR	0.792	0.231	1.3075e-05			  18	   10
     2767	GNA11	0.563	0.731	0.88941	Enzyme modulator	DTO_05007584	 122	  120
     2768	GNA12	0.547	0.769	0.96994	Enzyme modulator	DTO_05007584	 130	  130
     2769	GNA15	0.78	0.269	0.0059721	Enzyme modulator	DTO_05007584	  15	    7
     2770	GNAI1	0.751	0.538	0.91125	Enzyme modulator	DTO_05007584	  25	    9
     2771	GNAI2	0.636	0.577	0.89194	Enzyme modulator	DTO_05007584	  65	   28
     2773	GNAI3	0.653	0.615	0.038287	Enzyme modulator	DTO_05007584	  75	   16
     2774	GNAL	0.674	0.308	0.99829	Enzyme modulator	DTO_05007584	  41	   26
     2775	GNAO1	0.523	0.808	0.98963	Enzyme modulator	DTO_05007584	 188	  143
     2776	GNAQ	0.516	0.808	0.98069	Enzyme modulator	DTO_05007584	 219	  181
     2778	GNAS	0.42	0.885	0.68076	Enzyme modulator	DTO_05007584	 536	  549
     2779	GNAT1	0.666	0.308	9.8532e-13	Enzyme modulator	DTO_05007584	  37	   11
     2780	GNAT2	0.674	0.231	6.9544e-06	Enzyme modulator	DTO_05007584	  48	   28
     2781	GNAZ	0.722	0.346	0.96272	Enzyme modulator	DTO_05007584	  17	    8
     2782	GNB1	0.617	0.731	0.9992	Enzyme	DTO_05007624	  83	   21
     2783	GNB2	0.743	0.192	0.98876	Enzyme	DTO_05007624	  18	    6
     2784	GNB3	0.518	0.808	3.3303e-11	Enzyme	DTO_05007624	 192	  223
     2785	GNG3			0.54217	Enzyme modulator	DTO_05007584	   1	    1
     2786	GNG4	0.821	0.231	0.15575	Enzyme modulator	DTO_05007584	  10	    4
     2787	GNG5	0.89	0.231	0.18814	Enzyme modulator	DTO_05007584	   6	    5
     2788	GNG7	0.76	0.269	0.49663	Enzyme modulator	DTO_05007584	  23	   10
     2791	GNG11	0.76	0.231	0.54709	Enzyme modulator	DTO_05007584	  12	    5
     2792	GNGT1	0.861	0.192	0.25287	Enzyme modulator	DTO_05007584	   8	    6
     2793	GNGT2	0.805	0.154	0.19392	Enzyme modulator	DTO_05007584	   9	    4
     2794	GNL1	0.805	0.423	0.99928			  11	    7
     2796	GNRH1	0.524	0.731	0.15146			 179	  133
     2797	GNRH2	0.805	0.192	1.3359e-07			  14	   12
     2798	GNRHR	0.54	0.654	0.067566	G-protein coupled receptor	DTO_02300001	 133	  178
     2799	GNS	0.705	0.538	0.00056441	Enzyme	DTO_05007624	  51	   22
     2800	GOLGA1	0.89	0.231	1.4256e-06			   7	    2
     2801	GOLGA2	0.716	0.5	0.98756	Transporter	DTO_05007405	  29	   17
     2802	GOLGA3	0.931	0.115	0.0067951			   8	    7
     2803	GOLGA4	0.656	0.692	9.481e-16			  39	   21
     2804	GOLGB1	0.695	0.615	9.2969e-12			  32	   20
     2805	GOT1	0.601	0.692	0.0011573			  71	   55
     2806	GOT2	0.529	0.731	0.014233			 148	  145
     2810	SFN	0.561	0.769	0.36544	Chaperone	DTO_05007613	 105	  109
     2811	GP1BA	0.565	0.692	0.0032325	Receptor	DTO_05007575	 132	  128
     2812	GP1BB	0.524	0.769	0.51249			 192	   34
     2813	GP2	0.67	0.5	1.675e-21			  36	   33
     2814	GP5	0.805	0.231	0.00018766			  10	   13
     2815	GP9	0.695	0.5	0.47575			  46	   65
     2817	GPC1	0.587	0.731	0.015547			  96	   62
     2819	GPD1	0.67	0.5	0.0055506	Enzyme	DTO_05007624	  38	   19
     2820	GPD2	0.678	0.538	8.1316e-11	Enzyme	DTO_05007624	  38	   25
     2821	GPI	0.491	0.769	2.8385e-06	Enzyme	DTO_05007624	 218	  266
     2822	GPLD1	0.656	0.577	1.5871e-15			  44	   31
     2823	GPM6A	0.729	0.423	0.98962	Cellular structure	DTO_05007530	  23	   20
     2824	GPM6B	0.78	0.192	0.34626	Cellular structure	DTO_05007530	  12	    7
     2825	GPR1	0.792	0.385	4.0135e-06	G-protein coupled receptor	DTO_02300001	  13	   12
     2826	CCR10	0.626	0.654	0.00050508	G-protein coupled receptor	DTO_02300001	  57	   32
     2827	GPR3	0.743	0.5	0.00026263	G-protein coupled receptor	DTO_02300001	  18	   18
     2828	GPR4	0.674	0.462	0.10018	G-protein coupled receptor	DTO_02300001	  34	   12
     2829	XCR1	0.678	0.577	0.016001	G-protein coupled receptor	DTO_02300001	  32	   22
     2830	GPR6	0.89	0.115	0.068111	G-protein coupled receptor	DTO_02300001	   3	    2
     2831	NPBWR1	0.89	0.115	1.4304e-08	G-protein coupled receptor	DTO_02300001	   8	    3
     2832	NPBWR2	0.931	0.192	9.2479e-05	G-protein coupled receptor	DTO_02300001	   2	    1
     2833	CXCR3	0.436	0.808	0.181	G-protein coupled receptor	DTO_02300001	 367	  379
     2834	PRLHR	0.792	0.308	7.7094e-05	G-protein coupled receptor	DTO_02300001	  14	    8
     2835	GPR12	0.931	0.115	0.36177	G-protein coupled receptor	DTO_02300001	   7	    3
     2837	UTS2R	0.566	0.692	2.3172e-05	G-protein coupled receptor	DTO_02300001	  98	   78
     2838	GPR15	0.743	0.308	1.1106e-06	G-protein coupled receptor	DTO_02300001	  18	   12
     2840	GPR17	0.686	0.615	8.4259e-05	G-protein coupled receptor	DTO_02300001	  41	   26
     2841	GPR18	0.769	0.269	5.3465e-10	G-protein coupled receptor	DTO_02300001	  18	   11
     2842	GPR19	0.792	0.269	0.10405	G-protein coupled receptor	DTO_02300001	  12	    7
     2843	GPR20	1	0.077	0.441	G-protein coupled receptor	DTO_02300001	   4	    3
     2844	GPR21	1	0.077	0.1128	G-protein coupled receptor	DTO_02300001	   1	    1
     2845	GPR22	1	0.038	0.060335	G-protein coupled receptor	DTO_02300001	   1	    3
     2846	LPAR4	0.769	0.346	0.0022346	G-protein coupled receptor	DTO_02300001	  14	   14
     2847	MCHR1	0.65	0.5	4.7359e-05	G-protein coupled receptor	DTO_02300001	  45	   39
     2848	GPR25			0.0093779	G-protein coupled receptor	DTO_02300001	   1	    1
     2849	GPR26	0.792	0.077	0.52096	G-protein coupled receptor	DTO_02300001	  12	    8
     2850	GPR27	1	0.077	0.34682	G-protein coupled receptor	DTO_02300001	   1	    1
     2852	GPER1	0.505	0.731	0.57434	G-protein coupled receptor	DTO_02300001	 180	  230
     2853	GPR31	0.839	0.115	0.020514	G-protein coupled receptor	DTO_02300001	   7	    4
     2854	GPR32	1	0.038		G-protein coupled receptor	DTO_02300001	   1	    1
     2857	GPR34	0.743	0.346	0.26387	G-protein coupled receptor	DTO_02300001	  21	    7
     2859	GPR35	0.587	0.654	0.0049273	G-protein coupled receptor	DTO_02300001	 102	   35
     2861	GPR37	0.716	0.385	0.00033812	G-protein coupled receptor	DTO_02300001	  23	   23
     2862	MLNR	1	0.115	0.012661	G-protein coupled receptor	DTO_02300001	   1	    1
     2863	GPR39	0.65	0.615	2.8069e-09	G-protein coupled receptor	DTO_02300001	  45	   23
     2864	FFAR1	0.619	0.577	0.00075686	G-protein coupled receptor	DTO_02300001	  63	   94
     2865	FFAR3	0.839	0.308	0.00023758	G-protein coupled receptor	DTO_02300001	   5	    5
     2866	GPR42	0.475	0.846	0.050905	G-protein coupled receptor	DTO_02300001	 255	  419
     2867	FFAR2	0.686	0.462	0.0094238	G-protein coupled receptor	DTO_02300001	  45	   36
     2868	GRK4	0.716	0.5	1.6286e-15	Kinase	DTO_03300101	  21	   30
     2869	GRK5	0.588	0.769	0.67567	Kinase	DTO_03300101	  86	   68
     2870	GRK6	0.67	0.654	0.00048726	Kinase	DTO_03300101	  51	   46
     2872	MKNK2	0.711	0.423	1.3965e-05	Kinase	DTO_03300101	  25	   15
     2873	GPS1	0.769	0.346	0.99819			  12	    6
     2874	GPS2	0.691	0.346	0.053179	Enzyme modulator	DTO_05007584	  25	   15
     2875	GPT	0.403	0.923	3.5945e-19	Enzyme	DTO_05007624	 511	 2202
     2876	GPX1	0.458	0.923	3.8518e-05	Enzyme	DTO_05007624	 290	  285
     2877	GPX2	0.619	0.5	0.00014995	Enzyme	DTO_05007624	  60	   41
     2878	GPX3	0.522	0.769	0.050966	Enzyme	DTO_05007624	 156	  112
     2879	GPX4	0.516	0.808	4.7865e-05	Enzyme	DTO_05007624	 201	  107
     2880	GPX5	0.931	0.077	0.00055229	Enzyme	DTO_05007624	   3	    3
     2882	GPX7	0.769	0.269	5.8451e-06	Enzyme	DTO_05007624	  15	   12
     2885	GRB2	0.546	0.769	0.93934			 122	  129
     2886	GRB7	0.603	0.462	1.3644e-06	Receptor	DTO_05007575	  71	   52
     2887	GRB10	0.628	0.615	0.93945	Receptor	DTO_05007575	  61	   55
     2888	GRB14	0.743	0.346	0.053089	Receptor	DTO_05007575	  21	   14
     2889	RAPGEF1	0.751	0.308	0.99995	Enzyme modulator	DTO_05007584	  16	   11
     2890	GRIA1	0.57	0.577	0.99869	Ion channel	DTO_01300327	 126	  156
     2891	GRIA2	0.573	0.692	0.99916	Ion channel	DTO_01300327	 110	  113
     2892	GRIA3	0.566	0.692	0.99976	Ion channel	DTO_01300327	 127	   59
     2893	GRIA4	0.631	0.615	0.01831	Ion channel	DTO_01300327	  75	   52
     2894	GRID1	0.743	0.385	0.99931	Ion channel	DTO_01300327	  22	   26
     2895	GRID2	0.67	0.5	1	Ion channel	DTO_01300327	  50	   18
     2896	GRN	0.435	0.846	0.069666			 412	  695
     2897	GRIK1	0.641	0.462	1.1948e-09	Ion channel	DTO_01300327	  59	   38
     2898	GRIK2	0.561	0.769	0.99841	Ion channel	DTO_01300327	 130	   67
     2899	GRIK3	0.674	0.538	0.99998	Ion channel	DTO_01300327	  35	   23
     2900	GRIK4	0.678	0.423	0.11126	Ion channel	DTO_01300327	  41	   29
     2901	GRIK5	0.792	0.231	0.99425	Ion channel	DTO_01300327	   9	   10
     2902	GRIN1	0.561	0.692	0.97629	Ion channel	DTO_01300327	 150	  149
     2903	GRIN2A	0.522	0.808	0.99998	Ion channel	DTO_01300327	 212	  171
     2904	GRIN2B	0.51	0.692	1	Ion channel	DTO_01300327	 249	  353
     2905	GRIN2C	0.792	0.269	2.3053e-07	Ion channel	DTO_01300327	  11	   12
     2906	GRIN2D	0.65	0.538	0.99996	Ion channel	DTO_01300327	  82	   24
     2907	GRINA	0.76	0.346	0.44203			  15	    7
     2908	NR3C1	0.393	0.885	0.96958	Nuclear receptor	DTO_00102000	 590	 1078
     2909	ARHGAP35	0.751	0.269	1			  20	   21
     2911	GRM1	0.528	0.808	0.14279	G-protein coupled receptor	DTO_02300001	 172	  130
     2912	GRM2	0.582	0.577	0.12019	G-protein coupled receptor	DTO_02300001	 104	  111
     2913	GRM3	0.606	0.538	0.78458	G-protein coupled receptor	DTO_02300001	  79	  100
     2914	GRM4	0.636	0.5	0.99307	G-protein coupled receptor	DTO_02300001	  54	   40
     2915	GRM5	0.525	0.846	0.99872	G-protein coupled receptor	DTO_02300001	 189	  249
     2916	GRM6	0.7	0.308	4.4632e-17	G-protein coupled receptor	DTO_02300001	  28	   22
     2917	GRM7	0.628	0.538	0.99896	G-protein coupled receptor	DTO_02300001	  77	   75
     2918	GRM8	0.636	0.577	4.5334e-07	G-protein coupled receptor	DTO_02300001	  56	   39
     2919	CXCL1	0.449	0.923	0.11845	Signaling	DTO_05007599	 315	  369
     2920	CXCL2	0.513	0.885	3.6079e-07	Signaling	DTO_05007599	 186	  165
     2921	CXCL3	0.65	0.692	0.00030234	Signaling	DTO_05007599	  47	   29
     2922	GRP	0.524	0.769	0.0025347			 172	  221
     2923	PDIA3	0.566	0.769	0.99608			 100	   84
     2925	GRPR	0.595	0.538	0.22444	G-protein coupled receptor	DTO_02300001	  85	  131
     2926	GRSF1	1	0.077	1.066e-11	Nucleic acid binding	DTO_05007557	   2	    2
     2928	GSC2	0.89	0.269	0.0044347			   5	    5
     2931	GSK3A	0.644	0.538	0.9997	Kinase	DTO_03300101	  48	   27
     2932	GSK3B	0.43	0.846	0.95571	Kinase	DTO_03300101	 393	  770
     2933	GSM1	0.743	0.423				  16	   13
     2934	GSN	0.475	0.885	3.8905e-11	Cellular structure	DTO_05007530	 262	  266
     2935	GSPT1	0.7	0.462	0.99986	Enzyme	DTO_05007624	  30	   25
     2936	GSR	0.494	0.846	1.2922e-06	Enzyme	DTO_05007624	 206	  170
     2937	GSS	0.626	0.731	1.7584e-06	Enzyme	DTO_05007624	  73	   55
     2938	GSTA1	0.561	0.731	1.7305e-06			 108	   89
     2939	GSTA2	0.722	0.308	2.5611e-07			  23	   12
     2940	GSTA3	0.736	0.231	0.0012851			  16	    9
     2941	GSTA4	0.678	0.462	0.010958			  40	   25
     2942	GSTA6P	1	0.077				   1	    1
     2944	GSTM1	0.38	0.923	0.0020641			 627	 1747
     2946	GSTM2	0.488	0.808	3.3913e-07			 195	  317
     2947	GSTM3	0.552	0.808	4.3638e-07			 111	   80
     2948	GSTM4	0.736	0.269	1.3834e-08			  23	    7
     2949	GSTM5	0.78	0.231	1.1942e-07			  19	   11
     2950	GSTP1	0.383	0.923	0.014155			 610	 1220
     2952	GSTT1	0.393	0.923	0.00014834			 541	 1259
     2953	GSTT2	0.76	0.423	0.014962			  14	   11
     2954	GSTZ1	0.659	0.538	5.5058e-11			  38	   28
     2956	MSH6	0.462	0.731	3.6705e-05	Nucleic acid binding	DTO_05007557	 296	  795
     2957	GTF2A1	0.805	0.192	0.99038	Transcription factor	DTO_05007542	   9	    6
     2958	GTF2A2	0.931	0.038	0.026061	Transcription factor	DTO_05007542	   2	    2
     2959	GTF2B	0.769	0.308	0.00011548	Transcription factor	DTO_05007542	  17	   14
     2961	GTF2E2	0.617	0.692	0.039299	Transcription factor	DTO_05007542	 107	    4
     2962	GTF2F1	0.931	0.115	7.2585e-06	Nucleic acid binding	DTO_05007557	   3	    2
     2963	GTF2F2	0.931	0.115	0.00020055	Nucleic acid binding	DTO_05007557	   2	    1
     2965	GTF2H1	0.469	0.846	0.98982	Transcription factor	DTO_05007542	 258	  377
     2966	GTF2H2	0.65	0.577	0.015519	Transcription factor	DTO_05007542	  46	   80
     2967	GTF2H3	0.656	0.615	3.0414e-08	Nucleic acid binding	DTO_05007557	  41	   70
     2968	GTF2H4	0.573	0.846	4.2353e-07	Transcription factor	DTO_05007542	  87	  105
     2969	GTF2I	0.5	0.808	0.99592			 249	   80
     2970	GTF2IP1	1	0.115				   1	    2
     2971	GTF3A	0.736	0.462	1.7789e-11	Transcription factor	DTO_05007542	  21	   16
     2972	BRF1	0.7	0.462	0.00010409	Transcription factor	DTO_05007542	  44	   19
     2973	GTS	0.682	0.615				  32	   23
     2974	GUCY1B2	1	0.115				   2	    2
     2975	GTF3C1	1	0.077	1			   2	    1
     2976	GTF3C2	0.931	0.115	0.9944			   4	    4
     2977	GUCY1A2	0.792	0.192	0.31409			  10	    4
     2978	GUCA1A	0.647	0.5	0.00041429			  55	   46
     2979	GUCA1B	0.682	0.423	0.00021337			  41	   13
     2980	GUCA2A	0.663	0.462	0.28692			  45	   28
     2981	GUCA2B	0.695	0.385	0.38097			  38	   26
     2982	GUCY1A1	0.686	0.577	3.1253e-08			  44	   33
     2983	GUCY1B1	0.805	0.308	2.5834e-05			  10	    7
     2984	GUCY2C	0.599	0.577	1.3919e-30	Kinase	DTO_03300101	  88	   97
     2986	GUCY2F	0.821	0.231	1.0552e-13	Kinase	DTO_03300101	   6	    2
     2987	GUK1	0.769	0.346	2.3324e-05	Kinase	DTO_03300101	  19	   13
     2989	GULOP	0.805	0.308				   9	   12
     2990	GUSB	0.53	0.846	4.0382e-08			 183	  191
     2992	GYG1	0.722	0.308	4.8291e-12	Enzyme	DTO_05007624	  52	   19
     2993	GYPA	0.538	0.885	0.0010811			 136	  140
     2994	GYPB	0.585	0.808	8.3815e-05			  80	   76
     2995	GYPC	0.641	0.654	0.11297			  55	   30
     2996	GYPE	0.578	0.808	0.0036896			  83	   76
     2997	GYS1	0.722	0.385	0.0002914			  26	   22
     2998	GYS2	0.686	0.462	9.7872e-22			  43	   17
     2999	GZMH	0.78	0.346	1.2818e-07	Enzyme	DTO_05007624	  11	    9
     3000	GUCY2D	0.57	0.769	6.4574e-10	Kinase	DTO_03300101	 121	  146
     3001	GZMA	0.597	0.731	2.0457e-06	Enzyme	DTO_05007624	  65	   55
     3002	GZMB	0.453	0.808	3.6674e-14	Enzyme	DTO_05007624	 290	  344
     3003	GZMK	0.821	0.269	0.0081495	Enzyme	DTO_05007624	   8	    7
     3004	GZMM	0.686	0.577	0.011275	Enzyme	DTO_05007624	  36	   25
     3005	H1-0	0.663	0.692	0.6427	Nucleic acid binding	DTO_05007557	  36	   27
     3006	H1-2	0.722	0.423	0.0275	Nucleic acid binding	DTO_05007557	  21	   11
     3007	H1-3	1	0.115	0.1561	Nucleic acid binding	DTO_05007557	   2	    2
     3008	H1-4	0.682	0.385	0.18608	Nucleic acid binding	DTO_05007557	  34	   12
     3009	H1-5	0.839	0.192	0.57467	Nucleic acid binding	DTO_05007557	   6	    4
     3010	H1-6	0.931	0.115		Nucleic acid binding	DTO_05007557	   2	    2
     3012	H2AC8	0.839	0.115	0.032343	Nucleic acid binding	DTO_05007557	   5	    1
     3014	H2AX	0.484	0.808	0.17652	Nucleic acid binding	DTO_05007557	 212	  283
     3015	H2AZ1	0.674	0.385	0.87861			  38	   33
     3017	H2BC5	0.861	0.154	4.2079e-06	Nucleic acid binding	DTO_05007557	   8	    5
     3020	H3-3A	0.559	0.692	0.1231			 134	  101
     3021	H3-3B	0.599	0.385	0.80682			  77	   89
     3024	H1-1	0.861	0.077	7.1262e-08	Nucleic acid binding	DTO_05007557	   4	    2
     3026	HABP2	0.593	0.615	1.9637e-15	Enzyme	DTO_05007624	  88	   60
     3028	HSD17B10	0.656	0.538	0.93604	Enzyme	DTO_05007624	  65	   43
     3029	HAGH	0.729	0.462	0.00017657			  20	   15
     3030	HADHA	0.569	0.769	4.4354e-06	Enzyme	DTO_05007624	 154	   96
     3032	HADHB	0.619	0.692	1.5183e-11	Enzyme	DTO_05007624	 101	   39
     3033	HADH	0.65	0.538	6.5638e-05			  72	   42
     3034	HAL	0.641	0.538	2.4971e-23			  57	   31
     3035	HARS1	0.569	0.808	2.3839e-06	Enzyme	DTO_05007624	 127	   66
     3036	HAS1	0.67	0.577	1.3084e-12			  45	   37
     3037	HAS2	0.588	0.692	0.99013			  85	   80
     3038	HAS3	0.644	0.692	0.88316			  51	   35
     3039	HBA1	0.508	0.808	0.0067313			 200	  480
     3040	HBA2	0.512	0.808	0.003063			 182	  538
     3041	HBAP1	1	0.077				   2	    2
     3042	HBM	0.805	0.269	0.012271			  18	   15
     3043	HBB	0.494	0.808	1.2274e-09			 272	 1071
     3044	HBBP1	0.931	0.154				   3	    3
     3045	HBD	0.659	0.231				  40	   61
     3046	HBE1	0.686	0.269	0.019963			  41	   40
     3047	HBG1	0.615	0.538	0.56611			  65	  217
     3048	HBG2	0.565	0.692	0.66982			 112	  281
     3049	HBQ1	0.839	0.115	0.00082894			   5	    4
     3050	HBZ	0.686	0.346	0.020559			  40	   60
     3051	HBZP1						   3	    2
     3052	HCCS	0.559	0.731	0.88624	Enzyme	DTO_05007624	 135	   47
     3053	SERPIND1	0.619	0.654	2.5137e-10	Enzyme modulator	DTO_05007584	  60	   49
     3054	HCFC1	0.601	0.692	1			 100	   32
     3055	HCK	0.663	0.5	0.01976	Kinase	DTO_03300101	  39	   32
     3057	HCL2	0.705	0.308				  22	   23
     3059	HCLS1	0.539	0.846	1.3157e-06	Cellular structure	DTO_05007530	 132	  138
     3060	HCRT	0.5	0.808	0.028774			 237	  487
     3061	HCRTR1	0.623	0.654	0.00017378	G-protein coupled receptor	DTO_02300001	  71	   55
     3062	HCRTR2	0.7	0.577	0.005035	G-protein coupled receptor	DTO_02300001	  37	   58
     3064	HTT	0.548	0.654	1			 188	 1398
     3065	HDAC1	0.46	0.846	0.61427	Epigenetic regulator	DTO_05007378	 277	  384
     3066	HDAC2	0.476	0.846	0.99997	Epigenetic regulator	DTO_05007378	 257	  279
     3067	HDC	0.584	0.692	0.0041094			  92	   71
     3068	HDGF	0.575	0.654	0.27272	Signaling	DTO_05007599	  89	   89
     3069	HDLBP	0.636	0.731	1			  58	   52
     3070	HELLS	0.603	0.731	0.99979			  84	   34
     3071	NCKAP1L	0.839	0.269	0.85489			   6	    4
     3073	HEXA	0.633	0.615	1.3405e-11	Enzyme	DTO_05007624	  79	  176
     3074	HEXB	0.644	0.654	3.4915e-10	Enzyme	DTO_05007624	  62	   89
     3075	CFH	0.441	0.885	0.86061			 393	 1088
     3077	HFE	0.436	0.846	2.5587e-08			 415	 1266
     3078	CFHR1	0.588	0.615	2.6297e-08			  90	   84
     3080	CFHR2	0.769	0.346	1.5063e-08			  12	   10
     3081	HGD	0.631	0.577	2.9631e-08	Enzyme	DTO_05007624	  70	   83
     3082	HGF	0.374	0.885	0.99947	Enzyme	DTO_05007624	 671	 1425
     3083	HGFAC	0.628	0.462	1.9843e-08	Enzyme	DTO_05007624	  67	   45
     3084	NRG1	0.464	0.885	0.99665	Signaling	DTO_05007599	 304	  554
     3087	HHEX	0.599	0.692	0.54289			  73	  113
     3090	HIC1	0.522	0.615	0.13002	Transcription factor	DTO_05007542	 163	  120
     3091	HIF1A	0.327	0.923	0.9777	Transcription factor	DTO_05007542	1044	 3628
     3092	HIP1	0.653	0.577	0.76173	Cellular structure	DTO_05007530	  56	   48
     3093	UBE2K	0.631	0.654	0.98621			  58	   61
     3094	HINT1	0.619	0.577	0.0018235	Enzyme	DTO_05007624	 105	   49
